,الفريق الاول,الفريق الثاني,النتيجه,وقت المبارة
1,باتشوكا,الأهلي,(0 - 0),19:00
2,مازيمبي,يانج افريكانز,(1 - 1),15:00
3,أس مانيما يونيون,الجيش الملكي,(1 - 1),15:00
4,استاد أبيدجان,أورلاندو بايرتس,(1 - 1),18:00
5,الترجى الرياضي,بيراميدز,(2 - 0),21:00
6,مولودية الجزائر,الهلال السوداني,(0 - 1),21:00
7,أرسنال,ايفرتون,(0 - 0),17:00
8,ليفربول,فولهام,(2 - 2),17:00
9,وولفرهامبتون,إيبسويتش تاون,(1 - 2),17:00
10,نيوكاسل,ليستر سيتي,(4 - 0),17:00
11,نوتينجهام فورست,أستون فيلا,(2 - 1),19:30
12,اسبانيول,أوساسونا,(0 - 0),15:00
13,مايوركا,جيرونا,(2 - 1),17:15
14,اشبيلية,سيلتا فيجو,(1 - 0),19:30
15,رايو فاييكانو,ريال مدريد,(3 - 3),22:00
16,مونشنجلادباخ,هولشتاين كيل,(4 - 1),16:30
17,ماينز,بايرن ميونيخ,(2 - 1),16:30
18,أوجسبورج,باير ليفركوزن,(0 - 2),16:30
19,يونيون برلين,بوخوم,(1 - 1),16:30
20,سانت باولي,فيردر بريمن,(0 - 2),19:30
21,مارسيليا,ليل,(1 - 1),18:00
22,اوكسير,لانس,(2 - 2),20:00
23,ريمس,موناكو,(0 - 0),22:00
24,المصري,الجونة,(1 - 1),14:30
25,وادي دجلة,الاتحاد السكندري,(11 - 0),14:30
26,مودرن سبورت,اتحاد بسيون,(5 - 0),14:30
27,زد,البنك الأهلي,(1 - 1),16:00
28,كالياري,أتالانتا,(0 - 1),16:00
29,أودينيزي,نابولي,(1 - 3),19:00
30,يوفنتوس,فينيزيا,(2 - 2),21:45
31,ريزه سبور,قونيا سبور,(1 - 1),15:00
32,ألانيا سبور,غازي عنتاب بي.بي.كي,(3 - 0),18:00
33,فيرنسي,جل فيسنتي,(0 - 1),17:30
34,ناسيونال ماديرا,موريرنسي,(1 - 0),20:00
35,سبورتينج لشبونة,بوافيستا,(3 - 2),22:30
36,النادي المكناسي,اتحاد طنجة,(1 - 0),17:00
37,الوداد البيضاوي,الشباب الرياضي السالمي,(3 - 0),19:00
38,الاتحاد التوركي,نهضة الزمامرة,(0 - 0),21:00
39,العروبة,عجمان,(0 - 2),14:45
40,بني ياس,البطائح,(1 - 1),14:45
41,الشــارقة,الوحـــدة,(2 - 0),17:30
42,الترجي الجرجيسي,فابيس,(2 - 0),15:00
43,شبيبة العمران,البنزرتي,(1 - 1),15:00
